Postcode,Latitude,Longitude
G1,55.8586,-4.2456
G2,55.8636,-4.2612
G3,55.8644,-4.278
G4,55.871,-4.2494
G5,55.8433,-4.245
G11,55.8742,-4.3166
G12,55.8803,-4.3028
G13,55.8985,-4.3391
G14,55.8787,-4.347
G15,55.9115,-4.3672
G20,55.8919,-4.2898
G21,55.8805,-4.2177
G22,55.8905,-4.2489
G23,55.9122,-4.2672
G31,55.8559,-4.2027
G32,55.8487,-4.1683
G33,55.8825,-4.1588
G34,55.8702,-4.1089
G40,55.8443,-4.2156
G41,55.8417,-4.2891
G42,55.8319,-4.2506
G43,55.8191,-4.3003
G44,55.8151,-4.2553
G45,55.8018,-4.2347
G46,55.7993,-4.3081
G51,55.8626,-4.3295
G52,55.8508,-4.3498
G53,55.8199,-4.3559
G73,55.825,-4.2089
