,Neighbourhood,Latitude,Longitude,Venue_Name,Venue_Cat,Venue_Lat,Venue_Lng
0,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.857542040547806,-4.254970188020456
1,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.86026426268171,-4.252299132794289
2,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.861292341346456,-4.261413257561387
3,Merchant City,55.8586,-4.2456,Brew Box Coffee,Coffee Shop,55.85864111410925,-4.247986078262329
4,Merchant City,55.8586,-4.2456,Ballito Bay-Coffee with a touch of Glass,Art Gallery,55.85539543570937,-4.2443060874938965
5,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.856668,-4.257206
6,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.861668,-4.2497435
7,Merchant City,55.8586,-4.2456,Coffee Booth,Coffee Shop,55.86616672629012,-4.259713672148451
8,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.86324704916545,-4.25300732756192
9,Merchant City,55.8586,-4.2456,Gordon St Coffee,Coffee Shop,55.8604377940663,-4.257637396214358
10,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.865140184858376,-4.260184559386185
11,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.861297481549535,-4.255244325913771
12,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.85953405574411,-4.258189281886999
13,Merchant City,55.8586,-4.2456,all that is coffee,Coffee Shop,55.855847092055804,-4.247112419215576
14,Merchant City,55.8586,-4.2456,Riverhill Coffee Bar,Coffee Shop,55.86051963464954,-4.2557558365637425
15,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.86218027273272,-4.25121834496696
16,Merchant City,55.8586,-4.2456,Ble Coffee Stories,Café,55.857351,-4.254542
17,Merchant City,55.8586,-4.2456,Coffee Republic,Coffee Shop,55.862611,-4.25486
18,Merchant City,55.8586,-4.2456,Coffee Republic,Coffee Shop,55.863084,-4.256328
19,Merchant City,55.8586,-4.2456,AMT Coffee,Coffee Shop,55.86233746031476,-4.251181990308605
20,Merchant City,55.8586,-4.2456,Coffee Republic,Coffee Shop,55.86512521835102,-4.253965627237335
21,Merchant City,55.8586,-4.2456,Exchange Coffee Shop,Café,55.859949,-4.25265
22,Merchant City,55.8586,-4.2456,Starbucks,Coffee Shop,55.861512,-4.253548
23,Merchant City,55.8586,-4.2456,AMT Coffee,Coffee Shop,55.85919828104176,-4.258298764931011
24,Merchant City,55.8586,-4.2456,Tapa Organic | Bakery | Coffee House,Bakery,55.85887895928509,-4.2193615436553955
25,Merchant City,55.8586,-4.2456,Dear Green Coffee Roasters,Factory,55.85482937126635,-4.2494988441467285
26,Merchant City,55.8586,-4.2456,Dear Green Coffee Roaster Cafe,Café,55.8543958348209,-4.249878925644399
27,Merchant City,55.8586,-4.2456,McDonald's,Fast Food Restaurant,55.857493452169756,-4.248530863402202
28,Merchant City,55.8586,-4.2456,Coffee Hut,Coffee Shop,55.86963357122649,-4.244647752660702
29,Merchant City,55.8586,-4.2456,The Coffee Loft,Café,55.86601007538728,-4.260964846233415
30,Merchant City,55.8586,-4.2456,Aroma Coffee Bar,Café,55.86272137541398,-4.236532755348919
31,Merchant City,55.8586,-4.2456,Loft Coffee co,Café,55.85407257080078,-4.255331039428711
32,Merchant City,55.8586,-4.2456,Thomson's Coffee Roasters,Coffee Shop,55.858295,-4.258469
33,Merchant City,55.8586,-4.2456,AmPm Coffee,Café,55.86499083563402,-4.2515355499801775
34,Merchant City,55.8586,-4.2456,Hope & Argyle Coffee House,Coffee Shop,55.858294,-4.259526
35,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.85906359301788,-4.263986709147543
36,Merchant City,55.8586,-4.2456,East Coffee,Coffee Shop,55.85825,-4.220177
37,Merchant City,55.8586,-4.2456,Commotion Coffee Bar,Café,55.86618166848334,-4.260096292820151
38,Merchant City,55.8586,-4.2456,Costa Coffee,Coffee Shop,55.86487154668423,-4.258559806854746
39,Merchant City,55.8586,-4.2456,Sippa Coffee,Café,55.8629146024598,-4.260738212596522
40,Merchant City,55.8586,-4.2456,Weavers Coffee House,Coffee Shop,55.850120466770704,-4.2311525132827175
41,Merchant City,55.8586,-4.2456,Ice Cream & Coffee Van,Ice Cream Shop,55.848812,-4.2329745
42,Merchant City,55.8586,-4.2456,Starbucks,Coffee Shop,55.864267,-4.254371
43,Merchant City,55.8586,-4.2456,278 Coffee House,Snack Place,55.86225200187609,-4.265483775075397
44,Merchant City,55.8586,-4.2456,Starbucks,Coffee Shop,55.860073,-4.253529
45,Merchant City,55.8586,-4.2456,Charing Cross Coffee,Café,55.86624,-4.272388
46,Merchant City,55.8586,-4.2456,Starbucks,Coffee Shop,55.863362,-4.252682
47,Merchant City,55.8586,-4.2456,Gesso Tea and Coffee Lounge,Coffee Shop,55.86677576738539,-4.271014997522088
48,Merchant City,55.8586,-4.2456,Starbucks,Coffee Shop,55.86507437076079,-4.254110627171739
49,Merchant City,55.8586,-4.2456,Wisdom Coffee Co,Coffee Shop,55.86540017898365,-4.27044995713106
50,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.861292341346456,-4.261413257561387
51,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.857542040547806,-4.254970188020456
52,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.86026426268171,-4.252299132794289
53,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Booth,Coffee Shop,55.86616672629012,-4.259713672148451
54,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.865140184858376,-4.260184559386185
55,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,CC&T - Coffee Chocolate and Tea,Coffee Shop,55.863197503445775,-4.279316541086742
56,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.856668,-4.257206
57,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.86324704916545,-4.25300732756192
58,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Gordon St Coffee,Coffee Shop,55.8604377940663,-4.257637396214358
59,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Brew Box Coffee,Coffee Shop,55.85864111410925,-4.247986078262329
60,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.861297481549535,-4.255244325913771
61,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.861668,-4.2497435
62,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.85953405574411,-4.258189281886999
63,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Ballito Bay-Coffee with a touch of Glass,Art Gallery,55.85539543570937,-4.2443060874938965
64,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Sippa Coffee,Café,55.8629146024598,-4.260738212596522
65,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Avenue Coffee,Coffee Shop,55.87334495274694,-4.27579341511772
66,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.86032105265371,-4.288058280944824
67,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,The Coffee Loft,Café,55.86601007538728,-4.260964846233415
68,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Riverhill Coffee Bar,Coffee Shop,55.86051963464954,-4.2557558365637425
69,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Republic,Coffee Shop,55.863084,-4.256328
70,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Republic,Coffee Shop,55.862611,-4.25486
71,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Republic,Coffee Shop,55.86512521835102,-4.253965627237335
72,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.86487154668423,-4.258559806854746
73,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Commotion Coffee Bar,Café,55.86618166848334,-4.260096292820151
74,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,AMT Coffee,Coffee Shop,55.85919828104176,-4.258298764931011
75,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee and Craic,Café,55.86322438468162,-4.275368654161614
76,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.86218027273272,-4.25121834496696
77,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,The Coffee Pod,Coffee Shop,55.86812014286141,-4.272322220896481
78,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,278 Coffee House,Snack Place,55.86225200187609,-4.265483775075397
79,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Costa Coffee,Coffee Shop,55.85906359301788,-4.263986709147543
80,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Time,Café,55.8681441042188,-4.271021108587598
81,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Starbucks,Coffee Shop,55.861512,-4.253548
82,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Ble Coffee Stories,Café,55.857351,-4.254542
83,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,AMT Coffee,Coffee Shop,55.86233746031476,-4.251181990308605
84,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Hope & Argyle Coffee House,Coffee Shop,55.858294,-4.259526
85,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Thomson's Coffee Roasters,Coffee Shop,55.858295,-4.258469
86,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee Hut,Coffee Shop,55.86963357122649,-4.244647752660702
87,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,AmPm Coffee,Café,55.86499083563402,-4.2515355499801775
88,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Coffee@Kevingrove Park,Coffee Shop,55.866916,-4.28058
89,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Exchange Coffee Shop,Café,55.859949,-4.25265
90,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Charing Cross Coffee,Café,55.86624,-4.272388
91,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Gesso Tea and Coffee Lounge,Coffee Shop,55.86677576738539,-4.271014997522088
92,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Wisdom Coffee Co,Coffee Shop,55.86540017898365,-4.27044995713106
93,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,all that is coffee,Coffee Shop,55.855847092055804,-4.247112419215576
94,"Blythswood Hill, Anderston (part)",55.8636,-4.2612,Starbucks,Coffee Shop,55.864267,-4.254371
