,Neighbourhood,Latitude,Longitude,Venue_Name,Venue_Cat,Venue_Lat,Venue_Lng
0,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Monmouth Coffee Company,Coffee Shop,51.505536,-0.09148
1,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50375958183714,-0.08501443897802416
2,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50423659998283,-0.08174614724029487
3,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.504662537377655,-0.09088023064683254
4,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50318004562804,-0.11264348734111061
5,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Flat Cap Coffee Co.,Coffee Shop,51.50549761433381,-0.08952567417642207
6,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Three Wheels Coffee,Coffee Shop,51.50473121810717,-0.08688928607822084
7,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Coffee @ The Castle,Café,51.49476503391922,-0.10177552175970374
8,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.514924042108454,-0.09047060725899658
9,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,AMT Coffee,Coffee Shop,51.49997320903263,-0.11897431613749751
10,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.51307450150601,-0.1042515760569992
11,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Birds Hill Coffee,Coffee Shop,51.501606,-0.09440873
12,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,AMT Coffee,Coffee Shop,51.504828212712006,-0.08618824763700117
13,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Soho Coffee Co,Coffee Shop,51.51338359856738,-0.09943924157528768
14,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Roasting Plant Coffee,Coffee Shop,51.506257208814645,-0.08835190702768035
15,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50476681331239,-0.11352908168467384
16,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Association Coffee,Coffee Shop,51.514170445450446,-0.10302983712020002
17,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Origin Coffee,Coffee Shop,51.504326,-0.103555
18,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Lazy Coffee,Food Truck,51.511548,-0.088261
19,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.513898296474885,-0.10107132252061228
20,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.507765649093464,-0.11332702409990071
21,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Craft Coffee Cart,Coffee Shop,51.49947777444718,-0.0758859874601649
22,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.51471263124064,-0.0967051174700917
23,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.513018220780005,-0.09360636225691218
24,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Esquires Coffee,Coffee Shop,51.51029122881367,-0.09383764895662865
25,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50247354791685,-0.09241381103990964
26,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Mouse Tail Coffee,Coffee Shop,51.501846,-0.09220697
27,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Black Sheep Coffee,Coffee Shop,51.50562017941377,-0.09941156512392332
28,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Notes Coffee Barrows,Coffee Shop,51.511420276479434,-0.08839923102867493
29,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,The Coffee House,Coffee Shop,51.504007,-0.094674
30,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.505071361155814,-0.10130013087243818
31,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.499002289015394,-0.11228543164636565
32,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.51087918268795,-0.08691739223218992
33,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Igor's Coffee,Food Truck,51.508269281074654,-0.11135127818307992
34,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,FCB Coffee,Coffee Shop,51.50857847937478,-0.10281580935644521
35,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Coffee Republic,Coffee Shop,51.512298,-0.103688
36,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Coleman Coffee Roasters,Coffee Shop,51.500636,-0.112947
37,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50567357418908,-0.08325864550732824
38,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Sidecar Coffee Bar,Coffee Shop,51.492127774893426,-0.09901009760432411
39,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,80 Stone Coffee,Coffee Shop,51.49844,-0.104662
40,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Notes Coffee Barrows,Coffee Shop,51.51409489806739,-0.1099574249329363
41,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,The Colombian Coffee Company,Coffee Shop,51.50571148261888,-0.08982208621558138
42,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50325375236831,-0.10683648438269516
43,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Complete Coffee,Office,51.50368,-0.091396
44,"Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)",51.4996,-0.09613,Costa Coffee,Coffee Shop,51.50128517041627,-0.10459316230692346
